Time,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ
1694133744.2507653,0.0020342187499999996,0.0030438867187499996,1.00530052734375,0.13920462890624996,-0.909416796875,0.32923998046875,-27.39702989388845,-7.320206255304278,-46.27412552570533
1694133744.2707155,0.0024004296874999996,0.0024335351562499996,1.00542259765625,-0.12782417968750004,-1.24511015625,-0.57865796875,-26.701484663541777,-6.2023999623355275,-46.35131408002662
1694133744.290702,0.0021562890624999996,0.0031049218749999996,1.0054836328125,0.19261039062499996,0.76905,-2.38682447265625,-27.171535217496857,-7.236840677179277,-45.759737173776614
1694133744.310673,0.0027056054687499996,0.0029828515624999996,1.00566673828125,0.18498099609374996,-0.01677763671874999,-1.83750806640625,-26.985231823453883,-6.231451295343341,-46.49007323285865
1694133744.3306708,0.0019731835937499996,0.0031659570312499996,1.00542259765625,-0.15071236328125004,-0.909416796875,-1.18138013671875,-27.09864093295095,-7.545824532159745,-46.22738274384498
1694133744.3506727,0.0027666406249999996,0.0024335351562499996,1.00591087890625,-0.15834175781250004,-0.21514189453125,-3.5541218359375,-26.612771746549587,-6.406318620050373,-46.938090817819585
1694133744.3706908,0.0022173242187499996,0.0029218164062499996,1.0054836328125,-0.5245526953125,0.86823212890625,-0.9906452734375,-26.798846081876736,-6.312147826593341,-46.725843126779544
1694133744.39068,0.0024614648437499996,0.0022504296874999996,1.00566673828125,0.30705130859374996,0.128180859375,1.61097826171875,-26.789904319913845,-6.916530257257403,-45.953966123971924
1694133744.4106843,0.0025224999999999996,0.0029828515624999996,1.00584984375,0.20786917968749996,-0.30669462890625,-2.806441171875,-26.676596802946072,-6.258540745538653,-46.188091933298104
1694133744.4306822,0.0027666406249999996,0.0023114648437499996,1.00517845703125,-0.32618843750000004,1.226813671875,-0.792281015625,-27.935810205289823,-7.183415712823809,-45.676753610300054
1694133744.450716,0.0024004296874999996,0.0027997460937499996,1.00505638671875,0.62748587890625,0.48676240234375,0.93959154296875,-26.587681800260526,-5.960638376398029,-46.14296060676002
1694133744.4706988,0.0022783593749999996,0.0023724999999999996,1.00481224609375,0.45200980468749996,-0.71868193359375,-1.18138013671875,-26.54422451693533,-6.616473321222248,-45.563530039377206
1694133744.490714,0.0020952539062499996,0.0029218164062499996,1.00420189453125,-0.50166451171875,1.40228974609375,-2.2113483984375,-26.653167932706815,-7.252715195245685,-46.3166665759983
1694133744.5107203,0.0025224999999999996,0.0025556054687499996,1.00432396484375,-0.28041207031250004,0.2960275390625,-0.5023640234375,-26.260128797452907,-6.404839410089434,-46.155274561471934
1694133744.530715,0.0023393945312499996,0.0032880273437499996,1.00444603515625,0.40623343749999996,-0.787346484375,-0.34214673828125,-28.168347605924588,-7.24122465032381,-45.687667999826424
1694133744.550719,0.0026445703124999996,0.0026166406249999996,1.00444603515625,-0.25752388671875004,-1.10015166015625,-2.00535474609375,-26.46553988046072,-6.30167622112459,-46.67761119953345
1694133744.5707102,0.0025224999999999996,0.0034100976562499996,1.004385,-0.44825875000000004,1.593024609375,-2.17320142578125,-27.371589054410915,-7.228286044855058,-45.3144970447483
1694133744.5907123,0.0026445703124999996,0.0024335351562499996,1.00469017578125,0.43675101562499996,0.3875802734375,-0.2582233984375,-26.728912147794706,-6.179256049249592,-45.28591536676978
1694133744.6107152,0.0024004296874999996,0.0028607812499999996,1.00359154296875,0.36045707031249996,0.15106904296875,0.2605754296875,-26.49215068539236,-6.204123614679279,-47.19819584150123
1694133744.6307487,0.0024614648437499996,0.0029218164062499996,1.00359154296875,-0.05915962890625004,1.15814912109375,0.32923998046875,-27.181009538419705,-7.011559770929278,-46.35455128864478
1694133744.6507359,0.0024004296874999996,0.0027387109374999996,1.0042629296875,0.74955619140625,1.44806611328125,-0.07511792968749997,-26.750370125944116,-6.141790414972245,-46.365833250802986
1694133744.6707282,0.0027666406249999996,0.0026166406249999996,1.0042629296875,0.30705130859374996,0.27313935546875,0.336869375,-27.67822823055838,-7.303395705499591,-46.33457455146216
1694133744.6907296,0.0029497460937499996,0.0030438867187499996,1.00383568359375,-0.8907636328125,-0.93230498046875,-0.8685749609375,-26.819034582120878,-6.177221862237872,-46.720416079050054
1694133744.7107306,0.0028276757812499996,0.0026166406249999996,1.00371361328125,-0.62373482421875,0.60883271484375,-1.65440259765625,-26.353923667570097,-6.0772209603824034,-46.629092046823494
1694133744.730731,0.0017900781249999996,0.0024335351562499996,1.003652578125,0.04002249999999996,-0.4058767578125,-1.2500446875,-27.514215246671654,-7.176594074640215,-45.74231047187232
