Time,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ
0.02,-0.0023603125000000004,0.00719427734375,1.0057277734375,-0.7084960351562499,0.6925669335937501,1.8616343359375,30.217150306795144,3.6277694203433404,-42.7605149131565
0.02,-0.0020551367187500004,0.00695013671875,1.0054836328125,-0.6322020898437499,-0.6502065039062499,1.13684185546875,31.795242396272688,2.6213335995425595,-43.697074665231696
0.02,-0.0027875585937500004,0.007499453125,1.00530052734375,-0.3651732812499999,-1.15374654296875,1.358094296875,30.539551522859597,3.827158192804278,-42.98997235102271
0.02,-0.0032148046875000004,0.0076215234375,1.00542259765625,-0.5635375390624999,-1.74883931640625,1.9989634375,31.572208623201394,2.843026906183184,-43.36816942743872
0.02,-0.0026654882812500004,0.0071332421875,1.00554466796875,-0.4872435937499999,-1.15374654296875,1.41150005859375,30.529543662263894,3.539482965753497,-42.54380755121802
0.02,-0.0022992773437500004,0.00829291015625,1.005117421875,-0.5177611718749999,-1.2071523046875,-0.09149066406249995,31.372577965364478,2.593245119073809,-42.53200122065162
0.02,-0.0030316992187500004,0.006034609375,1.0057277734375,-0.3728026757812499,0.0745859765625001,-0.96887103515625,31.670394880403546,2.830730624933185,-42.49621602363013
0.02,-0.0015668554687500004,0.0081098046875,1.00481224609375,-0.16680902343749993,-0.1008900976562499,-0.28222552734374995,28.07883120742991,4.077633473565998,-42.55252359308814
0.02,-0.0021772070312500004,0.00792669921875,1.005605703125,-0.021850527343749926,0.2424326562500001,0.60278423828125,31.72524782815745,2.6202478949527164,-42.986620698190684
0.02,-0.0026044531250000004,0.00682806640625,1.00591087890625,-0.22021478515624993,-0.0703725195312499,0.9155894140625,30.182352685823464,3.52839463128084,-42.799540762399666
0.02,-0.0025434179687500004,0.00658392578125,1.00542259765625,-0.052368105468749926,0.1432505273437501,0.6409312109375,31.580717085115456,2.6337845248355283,-43.342796161203374
0.02,-0.0024823828125000004,0.0072553125,1.00493431640625,-0.24310296874999993,-0.7417592382812499,1.1597300390625,31.2079151959553,3.3447344227847466,-41.9272244621067
0.02,-0.0032148046875000004,0.007011171875,1.005117421875,-0.19732660156249993,-0.7493886328124999,-0.60266009765625,31.405182129304908,2.6329127230777165,-42.97729943268775
0.02,-0.0022992773437500004,0.00719427734375,1.00554466796875,-0.5635375390624999,-0.4060658789062499,0.32049664062500005,31.557523902254133,2.495726812921466,-43.670138050363526
0.02,-0.0023603125000000004,0.00719427734375,1.00554466796875,-0.3956908593749999,0.1432505273437501,-0.70947162109375,30.525202061067606,3.422820556085528,-42.13602943354224
0.02,-0.0024823828125000004,0.00756048828125,1.00627708984375,-0.3956908593749999,-0.7417592382812499,-1.06042376953125,31.68411717532542,2.4689036185855286,-42.55772372821998
0.02,-0.0023603125000000004,0.0081098046875,1.00591087890625,-0.3193969140624999,-0.3374013281249999,-0.72473041015625,31.149558786287333,3.4104612914370906,-42.41803252814673
0.02,-0.0022992773437500004,0.0073773828125,1.00578880859375,-0.4414672265624999,0.2424326562500001,-0.27459613281249995,32.11596941385081,2.5074586971988095,-42.70150383698463
0.02,-0.0024823828125000004,0.0073773828125,1.00591087890625,-0.15155023437499993,-0.1924428320312499,-0.67895404296875,31.821317268587133,2.7463704081363094,-43.11795235492897
0.02,-0.0031537695312500004,0.00695013671875,1.006093984375,-0.14392083984374993,-0.9096059179687499,0.8240366796875,30.507874830354712,3.043833157648028,-42.85229118683814
0.02,-0.0031537695312500004,0.00743841796875,1.00530052734375,-0.22021478515624993,0.1432505273437501,0.41204937500000005,31.561375923738506,2.4579000961245905,-43.41942898468971
0.02,-0.0029096289062500004,0.0073773828125,1.0054836328125,-0.5635375390624999,0.0974741601562501,1.56408794921875,30.637263893709203,3.4449492274722475,-42.36350573285865
0.02,-0.0022382421875000004,0.00731634765625,1.0049953515625,0.0010376562500000741,-0.0932607031249999,-0.07623187499999995,31.43324609866526,2.1569139979800602,-43.35332376874732
0.02,-0.0019330664062500004,0.007011171875,1.00566673828125,-0.3956908593749999,-0.0017079687499998997,0.55700787109375,32.02618457229807,2.984729578058185,-42.08509106403541
0.02,-0.0020551367187500004,0.00719427734375,1.00505638671875,-0.4948729882812499,-0.1161488867187499,-1.022276796875,30.632357053255102,3.4171675570620907,-41.64219545929908
0.02,-0.0026044531250000004,0.00774359375,1.0062160546875,-0.15155023437499993,-1.0545644140625,-0.6102894921875,31.920352944734596,2.3236650844058406,-43.88101227277564
