Time,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ
1694132302.6359665,0.0008135156249999996,0.0035932031249999996,1.00877953125,-0.2659911523437499,-0.4365834570312499,-2.304015078125,-27.216372398649195,-7.001065721124591,-46.08004498200416
1694132302.6561248,0.0020952539062499996,0.0044476953125,1.00761986328125,0.15362554687500007,-1.93194478515625,1.19787701171875,-26.141297140592552,-6.391737434503496,-45.8107661207981
1694132302.6760483,0.0018511132812499996,0.0038373437499999996,1.0079250390625,-0.06762689453124993,1.62335306640625,-0.25933734374999995,-27.134015013517363,-7.291424938898027,-45.61941467231177
1694132302.6960402,0.0008745507812499996,0.0038373437499999996,1.0079250390625,0.22991949218750007,0.4942026757812501,-1.1596058984375,-26.129370016569116,-5.95726465862459,-46.36862682697486
1694132302.7160382,0.0017900781249999996,0.0037152734374999996,1.0073146875,-0.09051507812499993,-0.8485707617187499,0.12213238281250005,-27.196959010709744,-7.20818409612459,-45.86442165217017
1694132302.736043,0.0017900781249999996,0.0032269921874999996,1.00859642578125,0.008667050781250074,-0.2687367773437499,-0.93835345703125,-26.16655054769705,-6.012534886651935,-46.010989293649665
1694132302.7560468,0.0018511132812499996,0.0034711328124999996,1.007070546875,0.17651373046875007,0.9519663476562501,-0.21356097656249995,-26.58112086837576,-6.350215246026934,-46.5273736718235
1694132302.776052,0.0018511132812499996,0.0032880273437499996,1.00920677734375,-0.16680902343749993,-0.0322255468749999,3.3875132421875,-26.416499784635526,-6.853384493585529,-45.94209605573462
1694132302.7960634,0.0022783593749999996,0.00426458984375,1.00737572265625,-0.09051507812499993,-0.6578358984374999,-0.23644916015624995,-26.130470148405056,-5.888904310968341,-46.773033727975836
1694132302.8160555,0.0017900781249999996,0.0042035546875,1.00761986328125,0.3748779882812501,1.16558939453125,1.09106548828125,-27.331390227384546,-7.330174584894121,-44.69038615973853
1694132302.8360562,0.0011797265624999996,0.0038983789062499996,1.008047109375,-0.11340326171874993,0.5399790429687501,0.7630015234375,-26.128852170255644,-6.235082537042558,-46.50563177265357
1694132302.8560567,0.0020952539062499996,0.00414251953125,1.00859642578125,-0.11340326171874993,-0.8256825781249999,0.38916119140625005,-26.621584808073024,-6.706048773858966,-46.615452140451424
1694132302.8760614,0.0014849023437499996,0.00402044921875,1.00829125,0.5198364843750001,1.16558939453125,-1.60974017578125,-26.63237323470877,-6.5083992133120905,-44.5138087322483
1694132302.8960648,0.0015459374999999996,0.0030438867187499996,1.0064601953125,0.4206543554687501,1.2647715234375,-0.30511371093749995,-26.427852723356228,-6.2803183280581845,-46.838791913644776
1694132302.9160702,0.0012407617187499996,0.0039594140625,1.00859642578125,-0.09051507812499993,-0.6349477148437499,0.44256695312500005,-27.398873438444117,-7.1727632582339655,-45.73003529035377
1694132302.9360735,0.0011186914062499996,0.0049359765625,1.00761986328125,0.6724243750000001,-0.5357655859374999,-0.37377826171874995,-26.251178089445094,-6.09056363860506,-46.524421966867436
1694132302.9560778,0.0016680078124999996,0.00438666015625,1.00749779296875,0.008667050781250074,1.16558939453125,-0.961241640625,-27.203825895109155,-6.81424823284334,-46.8909146150608
1694132302.9761245,0.0021562890624999996,0.0037763085937499996,1.00688744140625,0.07733160156250007,0.4255381250000001,0.63330181640625,-26.268453200651148,-5.791341710870684,-45.53976773920631
1694132302.9960837,0.0017290429687499996,0.004569765625,1.00780296875,0.3977661718750001,-0.7570180273437499,-0.49584857421874995,-26.156394800992945,-6.088074194269121,-45.973208559640874
1694132303.0160866,0.0011797265624999996,0.0034711328124999996,1.00835228515625,0.15362554687500007,2.5159922265625,-1.35034076171875,-27.308947576749784,-7.032564081964435,-46.27443157172584
1694132303.0360858,0.0016069726562499996,0.0034100976562499996,1.00682640625,-0.15917962890624993,1.09692484375,0.78588970703125,-26.71999994601248,-5.939241827569903,-46.706999271677006
1694132303.0560887,0.0022173242187499996,0.0038983789062499996,1.00884056640625,0.13073736328125007,-0.0322255468749999,-0.31274310546874995,-27.362996105558377,-7.109457864190997,-46.26007176227759
1694132303.076093,0.0019731835937499996,0.0046918359375,1.00780296875,0.19940191406250007,-0.3221425390624999,-0.55688373046875,-26.46614019296072,-6.190214698175372,-47.21005102204322
1694132303.0960977,0.0025835351562499996,0.0035321679687499996,1.007070546875,0.4969483007812501,0.8604136132812501,-0.18304339843749995,-26.450811140226346,-5.930660374444903,-46.67069500641822
1694132303.116106,0.0017290429687499996,0.004081484375,1.00761986328125,-0.21258539062499993,0.4255381250000001,0.23657330078125005,-27.12054213790701,-7.171896442804279,-46.04886392951392
1694132303.136116,0.0021562890624999996,0.0038983789062499996,1.00847435546875,0.18414312500000007,0.1813975000000001,0.63330181640625,-26.556402294523217,-5.94595557268709,-46.95765025434302
1694132303.156117,0.0020342187499999996,0.0037152734374999996,1.00761986328125,0.9394531835937501,1.28765970703125,0.26709087890625005,-27.160062659269315,-7.474442171319904,-44.90057801972389
1694132303.1761205,0.0018511132812499996,0.0027387109374999996,1.00835228515625,-0.4796141992187499,-1.06219380859375,-0.16778460937499995,-26.87633377987478,-6.218678595148029,-47.200802237985606
1694132303.1961172,0.0013017968749999996,0.00475287109375,1.0069484765625,0.031555234375000074,0.2805796289062501,-0.9154652734375,-26.736051010831815,-6.792249877862871,-46.188304955514894
1694132303.2161264,0.0022783593749999996,0.004569765625,1.0081691796875,0.3748779882812501,0.7612314843750001,-1.2816762109375,-26.67747013412283,-7.3387342035464656,-45.81995165644264
